C80.0	恶性肿瘤，原发部位不明
C80.9	（全身性）癌（症/病）（原发/继发）多
C80.9   发性癌症NOS部位（原发/继发）
C80.9   恶性恶病质/原发部位NOS（未写明原发部位不明
C81.0	结节性淋巴细胞为主型[NLPHL]
C81.1	结节硬化型（经典型）[NSHL]
C81.2	混合细胞型（经典型）[MCHL]
C81.3	淋巴细胞减少/消减型（经典型）[LDHL]
C81.4	富于淋巴细胞型（经典型）[LRCHL]，除外：结节性淋巴细胞为主型
C81.7	（经典型）霍奇金淋巴瘤[CHL]，其他型
C81.9	霍奇金淋巴瘤NOS
C82.0	滤泡性淋巴瘤I级/小分裂细胞，滤泡性
C82.1	滤泡性淋巴瘤II级/小分裂细胞和大细胞混合型，滤泡性
C82.2	滤泡性淋巴瘤III级，未特指/大细胞，滤泡性
C82.2	滤泡淋巴瘤，3级
C82.2	恶性淋巴瘤，大细胞，滤泡性NOS
C82.2	恶性淋巴瘤，大细胞，无核裂，滤泡性[观察]
C82.2	恶性淋巴瘤，组织细胞性，结节性[观察]
C82.2	恶性淋巴瘤，无/大核裂细胞，滤泡性NOS[观察]
C82.2	恶性淋巴瘤，大细胞/中心母细胞性，滤泡性NOS
C82.2	恶性淋巴瘤，淋巴细胞性，高分化，结节性[观察]
C82.3	滤泡性淋巴瘤IIIa级
C82.4	滤泡性淋巴瘤IIIb级
C82.4   滤泡性淋巴瘤 Grade 3B（高级别FL伴Bcl-2、Bcl-6、C-myc基因重排）
C82.5	弥漫性滤泡中心淋巴瘤
C82.6	皮肤滤泡中心淋巴瘤
C82.7	其他类型的滤泡性非霍奇金淋巴瘤
C82.7   滤泡T细胞淋巴瘤
C82.9   甲状腺原发性滤泡性淋巴瘤（PFL）和甲状腺乳头状癌（PTC）
C82.9	滤泡/结节性非霍奇金淋巴瘤NOS
C82.9   甲状腺原发性滤泡性淋巴瘤（PFL）
C83.0	小(B)细胞（弥漫性,慢性B淋巴细胞性白血病[BCLL]，非白血病变异体
C83.0   脾边缘带淋巴瘤
C83.0   脾脏弥漫性红髓小B细胞淋巴瘤
C83.0   淋巴结边缘区淋巴瘤
C83.0   小细胞B细胞淋巴瘤
C83.0   单核细胞样B细胞淋巴瘤
C83.1	小分裂细胞（弥漫性）套细胞淋巴瘤
C83.1   中心细胞性淋巴瘤恶性淋巴瘤性息肉病
C83.2	小细胞和大细胞混合型（弥漫性）
